Addr,Lat,Lon
"501 A TRIFEGA STARLM,GARUDACHARPALYA,MAHADEVAPURA,BANGLORE,KARNATAKA,560048",12.9878279,77.7008509
"1142, DSR SUNRISE TOWERC,CHANASANDRA,nan,BANGLORE,KARNATAKA,560067",12.9821505,77.7602375
"129-A,3RD FLOOR,18-B Main,HSR Layout,BENGALURU,KARNATAKA,nan",12.9068414,77.6436407
"#133,DEENA BANDHU NAGAR,nan,BANGLORE,KARNATAKA,560008",12.9670063,77.6274796
"129-A-3RD FLR,18-B Main,HSR Layout,BENGALURU,KARNATAKA,nan",12.9068414,77.6436407
"37, 1ST CROSS,2ND BLOCK,AKSHAYA NAGAR,R.M.NGR BLR,KARNATAKA,560016",12.9867039,77.646024
"37, 1ST CROSS,2ND BLOCK,AKSHAYA NAGAR,R.M.NGR BLR,KARNATAKA,560016",12.9867039,77.646024
"#405,Sri vishnu garden, app,Duckahali, BTM layout,bengalore,karnataka,560076",12.8996887,77.6068928
"#3052,Jallahalli HMT main road,nan,Bangalore,Karnataka,560013",13.0468935,77.5419409
"#167,2nd main, BSK 2nd stage,padhmanagar,nbangalore,karnatka,560078",12.930559,77.5639552
"004 G S Residency,Gottigere,nan,BENGALURU,KARNATAKA,560083",12.8542972,77.5871414
"DOUBLE TREEBY HILTON,SARJAPUR ROAD,nan,BENGALURU,KARNATAKA,nan",12.9191337,77.6651331
"DOUBLE TREEBY HILTON,SARJAPUR ROAD,nan,BENGALURU,KARNATAKA,nan",12.9191337,77.6651331
"DOUBLE TREEBY HILTON,SARJAPUR ROAD,nan,BENGALURU,KARNATAKA,nan",12.9191337,77.6651331
"A302,CENTRAL PARK BAGALURU CROSS,nan,BENGALURU,KARNATAKA,560063",13.1211218,77.6133408
"D1 401, PURVA SUNFLOWER,MAGADI ROAD,nan,BENGALURU,KARNATAKA,560023",12.9758605,77.5570993
"1900-01-04 00:00:00,MEGHA MAANAY HOMES RR NAGAR,NANJAPA LAYOUT,BENGALURU,KARNATAKA,560098",12.9055314,77.504647
"30/1, 2ND FLOOR 5TH B CROSS,KASTURI NAGAR,nan,BENGALURU,KARNATAKA,560043",13.0056398,77.654775
"269/186,SARJAPUR ROAD AGARA,nan,BENGALURU,KARNATAKA,560102",12.9125399,77.6807909
"1900-01-06 00:00:00,MALLESHWARAM,nan,BENGALURU,KARNATAKA,560003",13.0019142,77.5713364
"1900-01-06 00:00:00,WHITEFIELD,nan,BENGALURU,KARNATAKA,560066",12.9698066,77.7499632
"1900-01-24 00:00:00,HORAMAVU,nan,BENGALURU,KARNATAKA,560043",13.0206268,77.6478852
"1900-01-24 00:00:00,HORAMAVU,nan,BENGALURU,KARNATAKA,560043",13.0206268,77.6478852
"1900-01-24 00:00:00,HORAMAVU,nan,BENGALURU,KARNATAKA,560043",13.0206268,77.6478852
"19, A CROSS,EGIPURA,nan,BENGALURU,KARNATAKA,560047",12.9461094,77.6278321
"THE PARK HOTEL ,M.G.ROAD,nan,BENGALURU,KARNATAKA,-",12.9738598,77.6195992
"The Park Hotel,M.G.Road,nan,Bangalore,Karnataka,nan",12.9740374,77.6193104
"1900-07-20 00:00:00,03rd B Cross,OMBR Layout,Bangalore,Karnataka,560043",13.0090545,77.6528182
"Double Tree by Hilton,Sarjapur Road,nan,Bengaluru,Karnataka,nan",12.9191337,77.6651331
"Double Tree by Hilton,Sarjapur Road,nan,Bengaluru,Karnataka,nan",12.9191337,77.6651331
"Double Tree by Hilton,Sarjapur Road,nan,Bengaluru,Karnataka,nan",12.9191337,77.6651331
"A302 Nitesh Central Park,Bagalur C Cross,nan,Bengaluru,Karnataka,560063",13.1211218,77.6133408
"D1 401, Purva Sunflower,Magadi Road,nan,Bengaluru,Karnataka,560023",12.9758605,77.5570993
"#004,Megha Maanay Homes, RR nagar,Nanjapa Layout,Bengaluru,Karnataka,560098",12.9055314,77.504647
"30/1, 2nd Floor, 5th B cross, 1st C Main,nan,Kasturi Nagar,Bangalore,Karnataka,560043",13.0056398,77.654775
"269/186,Sarjapura road, Agara,Agara,Bangalore,Karnataka,560102",12.9125399,77.6807909
"1900-01-06 00:00:00,2nd cross,SP Extn Malleshwaram,Bangalore,Karnataka,560003",12.9958229,77.5638099
"D006,Saranya Sarovar Apartment, Hagadul Main Road,Whitefield,Bangalore,Karnataka,560066",12.966034,77.7557001
"#24,6 Bcross, ,Horamuvu,Bangalore,Karnataka,560043",13.0345932,77.6548108
"#24,6 Bcross, ,Horamuvu,Bangalore,Karnataka,560043",13.0345932,77.6548108
"#24,6 Bcross, ,Horamuvu,Bangalore,Karnataka,560043",13.0345932,77.6548108
"#15,19, A Cross,Ejipura,Bangalore,Karnataka,560047",12.9460799,77.628098
"#695/1, 15th cross,J.P nagar 2nd phase,nan,Bangalore,KA,560078",12.9061609,77.5951478
"1900-06-21 00:00:00,AK Colony,nan,Bangalore,Karnataka,560045",12.9435113,77.6088608
"#252,2nd main, 1st stage, Pillanna Garden,nan,Bangalore,Karnataka,560084",13.0101378,77.6175273
"#241/242,Noble Residency Road,Dodda Kammanahalli,Bangalore,Karnataka,560083",12.861267,77.6043123
"C501,Purva Fountain Square,Marathalli,Bengaluru,Karnataka,560037",12.9574128,77.7055233
"nan,Manipal County Road,Singasandra,Bangalore,Karnataka,560068",12.8737284,77.6433476
"1903-03-01 00:00:00,Shanthikethan,nan,Bangalore,Karnataka,nan",13.062578,77.5016493
"1900-09-16 00:00:00,nan,Manjunathanagar,Bangalore,Karnataka,560010",12.9817986,77.5574781
"1900-09-16 00:00:00,nan,Manjunathanagar,Bangalore,Karnataka,560010",12.9817986,77.5574781
"1900-01-12 00:00:00,Achakapra,Abbaih Reddy layout,Bangalore,Karnataka,560093",12.9793499,77.6800964
"1900-07-25 00:00:00,nan,Kodichikkanahalli,Bangalore,Karnataka,nan",12.8953449,77.6150369
"66/3/3,Near Saolar  iater,School Vijnapura Doodani Napal,Bangalore,Karnataka,560016",13.0024795,77.6747291
"66/3/3,Near Saolar  iater,School Vijnapura Doodani Napal,Bangalore,Karnataka,560016",13.0024795,77.6747291
"G-2,Bohra Layout,Gottigere,Bangalore,Karnataka,560083",12.8564028,77.5907497
"G-2,Bohra Layout,Gottigere,Bangalore,Karnataka,560083",12.8564028,77.5907497
"G-2,Bohra Layout,Gottigere,Bangalore,Karnataka,560083",12.8564028,77.5907497
"G-2,Bohra Layout,Gottigere,Bangalore,Karnataka,560083",12.8564028,77.5907497
"1900-03-11 00:00:00,G.P Rayalanam Road,Hanumanth nagar,Bangalore,Karnataka,560019",12.9425468,77.5625781
"62 FORUM VALUE,WHITEFEILD,nan,BANGALORE,KARNATAKA,560066",12.9596271,77.7479488
"231/1 FALT NO 201,2ND FLOOR AHMED RESIDENCY,HBR LAYOUT 1ST STAGE,BANGALORE,KARNATAKA,560043",13.01818,77.6264055
"1900-03-02 00:00:00,4TH MAIN ROAD CHAMRAJPET,nan,BANGALORE,KARNATAKA,560018",12.9578529,77.5644993
"1900-03-02 00:00:00,4TH MAIN ROAD CHAMRAJPET,nan,BANGALORE,KARNATAKA,560018",12.9578529,77.5644993
"1900-03-02 00:00:00,4TH MAIN ROAD CHAMRAJPET,nan,BANGALORE,KARNATAKA,560018",12.9578529,77.5644993
"A302,SIDDHARTHA SAPHIRRE,KUDLU ROAD ,BANGALORE,KARNATAKA,560068",12.8894115,77.6535263
"A 705 KHEERTHI,SIGNATURE,WHITEFEILD,BANGALORE,KARNATAKA,560068",12.98731,77.7255547
"F-203 GODREJ E-CITY,DODATHAGURU,BANGALORE,BANGALORE,KARNATAKA,560100",12.8517252,77.6528568
"1900-09-23 00:00:00,4 CROSS,RMV 2ND STAGE,BANGALORE,KARNATAKA,560094",13.039301,77.5739817
"B 1404 ALDER,GODREJ WOODSMEN ESTATE,HEBBAL,BANGALORE,KARNATAKA,560024",13.0544261,77.5960248
"14 CAMBRIGDE ROAD,ULSOOR,nan,BANGALORE,KARNATAKA,560008",12.9747099,77.6256259
"B 1404 ALDER,GODREJ WOODSMEN ESTATE,HEBBAL,BANGALORE,KARNATAKA,560024",13.0544261,77.5960248
"2 15TH CROSS,AKSHAY NAGAR,nan,BANGALORE,KARNATAKA,560016",13.0115431,77.6793642
"879/2,1ST CROSS BM LAYOUT,nan,KG HALLI BANGALORE,KARNATAKA,560045",13.0145488,77.6259218
"81/A,VIVARA MASAN,HULIMAVU,BANGALORE,KARNATAKA,560076",12.8798154,77.6091128
"1900-01-21 00:00:00,7th Cross,Jai Bharath Nagar,Bangalore,Karnataka,560033",13.0030229,77.6323816
